Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2017,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,61.3
2018,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,61.3
2019,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,60.8
2020,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,60.5
2021,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,60.9
2022,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,61.8
2023,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,62.2
2024,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,62.4
2000,A,3,46.1,15.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,28.4
2001,A,3,46.1,15.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,28.6
2002,A,3,46.1,15.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,29.0
2003,A,3,46.1,15.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,29.2
2004,A,3,46.1,15.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,29.4
2005,A,3,46.1,15.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,29.7
2006,A,3,46.1,15.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,29.8
2007,A,3,46.1,15.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,29.8
2008,A,3,46.1,15.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,30.1
