Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,None,PT,2023-09-12T00:00:00,2022,15.01474
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,None,PT,2023-09-12T00:00:00,2022,15.58946
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,None,PT,2023-09-12T00:00:00,2022,16.1754
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,None,PT,2023-09-12T00:00:00,2022,16.77249
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,None,PT,2023-09-12T00:00:00,2022,17.38065
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,None,PT,2023-09-12T00:00:00,2022,17.9998
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,None,PT,2023-09-12T00:00:00,2022,18.62985
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,None,PT,2023-09-12T00:00:00,2022,19.27072
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,None,PT,2023-09-12T00:00:00,2022,19.38161
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,None,PT,2023-09-12T00:00:00,2022,19.4935
2000,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,2.22355
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,2.48346
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,2.75502
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,3.0382
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,3.33301
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,3.63945
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,3.95753
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,4.28724
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,4.62857
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,4.98154
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,5.34614
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,5.72238
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,6.11024
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,6.50973
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,6.92086
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,7.34361
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,7.778
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,8.22402
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,8.68167
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,9.15095
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,9.63187
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,9.63187
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,R,PT,2023-09-12T00:00:00,2022,9.63187
2000,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,18.8727
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,19.35483
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,19.84235
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,20.33527
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,20.83359
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,21.33731
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,21.84642
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,22.36093
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,22.88083
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,23.40614
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,23.93684
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,24.47294
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,25.01443
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,25.56132
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,26.11361
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,26.6713
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,27.23438
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,27.80286
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,28.37674
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,28.95602
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,29.54069
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,29.54069
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,204,U,PT,2023-09-12T00:00:00,2022,29.54069
