Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2018,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,7.3
2019,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,6.1
2020,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,5.3
2021,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,4.2
2022,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.5
2023,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.2
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,20.8
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,19.1
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,17.1
2003,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,15.7
2004,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,14.0
2005,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,12.3
2006,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,11.0
2007,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,10.6
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,9.9
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,9.2
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,9.1
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,9.3
2012,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,8.5
2013,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,7.9
2014,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,7.7
2015,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,7.4
2016,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,6.8
2017,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,5.9
2018,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,5.2
2019,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,4.5
2020,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,4.0
2021,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.2
2022,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.7
2023,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.5
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,9.7
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,8.7
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,7.8
